2023 National Employment Matrix title,"Employment, 2023","Employment, 2033","Employment change, numeric, 2023–33","Employment change, percent, 2023–33","Median annual wage, dollars, 2023[1]",Typical education needed for entry
"  Coil winders, tapers, and finishers",12.1,10.9,-1.1,-9.3,"44,890",High school diploma or equivalent
"  Electrical, electronic, and electromechanical assemblers, except coil winders, tapers, and finishers",271.1,290.6,19.5,7.2,"40,490",High school diploma or equivalent
  Engine and other machine assemblers,49.0,38.6,-10.4,-21.3,"50,270",High school diploma or equivalent
  Structural metal fabricators and fitters,59.3,50.3,-9.1,-15.3,"48,480",High school diploma or equivalent
  Fiberglass laminators and fabricators,20.9,21.8,1.0,4.6,"40,200",High school diploma or equivalent
  Timing device assemblers and adjusters,0.4,0.3,-0.1,-16.3,"48,840",High school diploma or equivalent
  Miscellaneous assemblers and fabricators[2],"1,520.8","1,527.9",7.0,0.5,"38,920",High school diploma or equivalent
  Bakers,243.4,256.1,12.7,5.2,"34,950",No formal educational credential
  Butchers and meat cutters,139.1,136.2,-2.9,-2.1,"37,650",No formal educational credential
"  Meat, poultry, and fish cutters and trimmers",141.1,147.7,6.6,4.7,"36,300",No formal educational credential
  Slaughterers and meat packers,72.8,73.8,1.0,1.4,"38,160",No formal educational credential
"  Food and tobacco roasting, baking, and drying machine operators and tenders",19.6,20.0,0.4,2.2,"39,850",No formal educational credential
  Food batchmakers,171.3,186.8,15.5,9.1,"38,460",High school diploma or equivalent
  Food cooking machine operators and tenders,30.7,31.1,0.3,1.0,"38,550",High school diploma or equivalent
"  Food processing workers, all other[2]",66.8,69.7,2.9,4.4,"36,890",No formal educational credential
"  Extruding and drawing machine setters, operators, and tenders, metal and plastic",64.1,65.3,1.3,2.0,"44,390",High school diploma or equivalent
"  Forging machine setters, operators, and tenders, metal and plastic",9.3,7.9,-1.5,-15.7,"46,990",High school diploma or equivalent
"  Rolling machine setters, operators, and tenders, metal and plastic",25.0,23.1,-1.9,-7.7,"47,040",High school diploma or equivalent
"  Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",181.3,161.0,-20.3,-11.2,"42,400",High school diploma or equivalent
"  Drilling and boring machine tool setters, operators, and tenders, metal and plastic",5.8,4.7,-1.1,-19.2,"44,620",High school diploma or equivalent
"  Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",76.3,68.1,-8.2,-10.7,"42,610",High school diploma or equivalent
"  Lathe and turning machine tool setters, operators, and tenders, metal and plastic",19.7,17.5,-2.3,-11.4,"47,110",High school diploma or equivalent
"  Milling and planing machine setters, operators, and tenders, metal and plastic",14.1,12.3,-1.8,-12.9,"47,200",High school diploma or equivalent
  Machinists,298.0,303.0,5.0,1.7,"50,840",High school diploma or equivalent
  Metal-refining furnace operators and tenders,21.4,20.4,-1.0,-4.8,"50,250",High school diploma or equivalent
"  Pourers and casters, metal",5.6,5.2,-0.4,-6.7,"48,690",High school diploma or equivalent
"  Model makers, metal and plastic",2.9,2.4,-0.5,-17.6,"64,190",High school diploma or equivalent
"  Patternmakers, metal and plastic",2.2,1.7,-0.5,-22.2,"49,670",High school diploma or equivalent
  Foundry mold and coremakers,11.8,8.9,-2.9,-24.6,"44,300",High school diploma or equivalent
