AREA_TITLE,OCC_TITLE,H_MEDIAN,A_MEDIAN
California,Protective Service Occupations,23.74,"49,370"
California,First-Line Supervisors of Correctional Officers,55.48,"115,400"
California,First-Line Supervisors of Police and Detectives,79.51,"165,370"
California,First-Line Supervisors of Firefighting and Prevention Workers,65.40,"136,040"
California,First-Line Supervisors of Security Workers,25.78,"53,620"
California,"First-Line Supervisors of Protective Service Workers, All Other",33.18,"69,010"
California,Firefighters,38.62,"80,330"
California,Fire Inspectors and Investigators,46.34,"96,400"
California,Forest Fire Inspectors and Prevention Specialists,42.94,"89,320"
California,Bailiffs,39.38,"81,920"
California,Correctional Officers and Jailers,44.79,"93,160"
California,Detectives and Criminal Investigators,55.33,"115,090"
California,Fish and Game Wardens,44.30,"92,140"
California,Parking Enforcement Workers,31.80,"66,140"
California,Police and Sheriff's Patrol Officers,54.55,"113,460"
California,Animal Control Workers,29.67,"61,710"
California,Private Detectives and Investigators,26.93,"56,010"
California,Gambling Surveillance Officers and Gambling Investigators,19.49,"40,530"
California,Security Guards,19.03,"39,590"
California,Crossing Guards and Flaggers,23.45,"48,780"
California,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",17.80,"37,030"
California,Transportation Security Screeners,*,*
California,School Bus Monitors,18.83,"39,160"
California,"Protective Service Workers, All Other",17.79,"37,010"
California,Food Preparation and Serving Related Occupations,17.30,"35,970"
California,Chefs and Head Cooks,29.29,"60,930"
California,First-Line Supervisors of Food Preparation and Serving Workers,21.03,"43,740"
California,"Cooks, Fast Food",16.77,"34,890"
California,"Cooks, Institution and Cafeteria",21.60,"44,940"
California,"Cooks, Private Household",37.48,"77,960"
California,"Cooks, Restaurant",19.90,"41,400"
California,"Cooks, Short Order",18.07,"37,590"
California,"Cooks, All Other",17.66,"36,740"
California,Food Preparation Workers,17.85,"37,130"
California,Bartenders,16.69,"34,700"
California,Fast Food and Counter Workers,16.91,"35,170"
California,Waiters and Waitresses,16.72,"34,780"
California,"Food Servers, Nonrestaurant",17.69,"36,790"
California,Dining Room and Cafeteria Attendants and Bartender Helpers,16.29,"33,890"
California,Dishwashers,17.28,"35,950"
California,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",16.68,"34,700"
California,"Food Preparation and Serving Related Workers, All Other",17.00,"35,360"
California,Building and Grounds Cleaning and Maintenance Occupations,18.86,"39,230"
California,First-Line Supervisors of Housekeeping and Janitorial Workers,26.39,"54,880"
California,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",28.55,"59,380"
California,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",18.26,"37,970"
California,Maids and Housekeeping Cleaners,18.69,"38,860"
California,"Building Cleaning Workers, All Other",18.79,"39,080"
California,Pest Control Workers,21.56,"44,840"
California,Landscaping and Groundskeeping Workers,19.62,"40,800"
California,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",21.11,"43,910"
California,Tree Trimmers and Pruners,29.76,"61,910"
